Spectral,Histological,r,p,n,morph,abs_r,p_adj_BH,sig_stars,pass_threshold
S1G,xanthophore_thickness_nm,-0.642396682,0.000712411,24,Red,0.642396682,0.035620558,***,TRUE
S1G,rel_xanth,-0.587845206,0.002520764,24,Red,0.587845206,0.063019092,**,TRUE
B3,melanophores_thickness_nm,0.471615006,0.01998917,24,Red,0.471615006,0.333152841,*,TRUE
S1G,xanthophores_area_nm2,-0.450019265,0.027346667,24,Red,0.450019265,0.341833339,*,TRUE
S1V,collagen_layer_nm,0.52473773,0.012165016,22,Green,0.52473773,0.30412539,*,TRUE
S1G,collagen_layer_nm,-0.527318123,0.011672333,22,Green,0.527318123,0.30412539,*,TRUE
B3,melanophores_thickness_nm,-0.466761728,0.028528957,22,Green,0.466761728,0.475482614,*,TRUE
S9,melanophores_thickness_nm,0.439356901,0.040770341,22,Green,0.439356901,0.509629265,*,TRUE
B3,collagen_layer_nm,0.328028122,0.117611985,24,Red,0.328028122,0.634695128,,FALSE
S9,collagen_layer_nm,-0.308352066,0.14265748,24,Red,0.308352066,0.648443089,,FALSE
S1V,collagen_layer_nm,0.253139557,0.232680188,24,Red,0.253139557,0.779396101,,FALSE
S1G,collagen_layer_nm,-0.016222482,0.940027196,24,Red,0.016222482,0.985539099,,FALSE
S1R,collagen_layer_nm,-0.256585592,0.22616594,24,Red,0.256585592,0.779396101,,FALSE
B3,iridophores_area_nm2,-0.071978693,0.738204664,24,Red,0.071978693,0.985539099,,FALSE
S9,iridophores_area_nm2,-0.003908405,0.985539099,24,Red,0.003908405,0.985539099,,FALSE
S1V,iridophores_area_nm2,0.198858284,0.351571,24,Red,0.198858284,0.985539099,,FALSE
S1G,iridophores_area_nm2,-0.115711422,0.590286724,24,Red,0.115711422,0.985539099,,FALSE
S1R,iridophores_area_nm2,-0.094330978,0.661070632,24,Red,0.094330978,0.985539099,,FALSE
B3,iridophores_thickness_nm,0.391749445,0.05833258,24,Red,0.391749445,0.5833258,,FALSE
S9,iridophores_thickness_nm,0.101496274,0.63699379,24,Red,0.101496274,0.985539099,,FALSE
S1V,iridophores_thickness_nm,0.014888195,0.944952302,24,Red,0.014888195,0.985539099,,FALSE
S1G,iridophores_thickness_nm,-0.337975583,0.10624791,24,Red,0.337975583,0.634695128,,FALSE
S1R,iridophores_thickness_nm,0.052980428,0.805785457,24,Red,0.052980428,0.985539099,,FALSE
B3,melanophores_area_nm2,0.133695615,0.53340717,24,Red,0.133695615,0.985539099,,FALSE
S9,melanophores_area_nm2,0.031273553,0.884659788,24,Red,0.031273553,0.985539099,,FALSE
S1V,melanophores_area_nm2,0.022930417,0.915302786,24,Red,0.022930417,0.985539099,,FALSE
S1G,melanophores_area_nm2,-0.138407589,0.51894365,24,Red,0.138407589,0.985539099,,FALSE
S1R,melanophores_area_nm2,-0.031898658,0.88236979,24,Red,0.031898658,0.985539099,,FALSE
S9,melanophores_thickness_nm,0.113181644,0.598490972,24,Red,0.113181644,0.985539099,,FALSE
S1V,melanophores_thickness_nm,-0.084140256,0.695877843,24,Red,0.084140256,0.985539099,,FALSE
S1G,melanophores_thickness_nm,-0.218310252,0.305442251,24,Red,0.218310252,0.954507035,,FALSE
S1R,melanophores_thickness_nm,0.109023769,0.612078557,24,Red,0.109023769,0.985539099,,FALSE
B3,xanthophores_area_nm2,0.188363398,0.378071717,24,Red,0.188363398,0.985539099,,FALSE
S9,xanthophores_area_nm2,0.052750059,0.806614329,24,Red,0.052750059,0.985539099,,FALSE
S1V,xanthophores_area_nm2,0.052103455,0.808941901,24,Red,0.052103455,0.985539099,,FALSE
S1R,xanthophores_area_nm2,0.065932922,0.75953305,24,Red,0.065932922,0.985539099,,FALSE
B3,xanthophore_thickness_nm,0.375616162,0.07048273,24,Red,0.375616162,0.58735608,,FALSE
S9,xanthophore_thickness_nm,-0.006222306,0.976979579,24,Red,0.006222306,0.985539099,,FALSE
S1V,xanthophore_thickness_nm,0.157692695,0.461781734,24,Red,0.157692695,0.985539099,,FALSE
