"","slide","id","morph","locality","species","tissue_thickness","collagen_layer_nm","iridophores_area_px","iridophores_area_nm2","iridophores_thickness_pix","iridophores_thickness_nm","iridophores_density","melanophores_area_px","melanophores_area_nm2","melanophores_thickness_px","melanophores_thickness_nm","melanophores_density","xanthophores_area_px","xanthophores_area_nm2","xanthophores_thickness_px","xanthophore_thickness_nm","xanthophores_density","xanthtomel","iritomel","xanthtoiri","glands","B1","B2","B3","S1U","S1V","S1B","S1G","S1Y","S1R","S2","S3","S4","S5","S6","S7","S8","S9","S10","H1","H2","H3","H4","H5","total_chrom_area","rel_xanth","rel_melan","rel_irid"
"1","1094","ALM1","red","ALM","pumilio",18.3710372,4.759910117,9894.589864,120.4171586,84.69239934,1.0307065,116.8297266,20865.5,253.933135,407.8471979,4.733175233,53.6496374,108185.5714,1316.618404,147.1384086,1.790674433,735.2639764,13.70491977,2.177642427,6.29346655,7,3610.753766,9.004373482,29.04088966,0.075019166,0.084592537,0.068170876,0.147503499,0.254442581,0.715892267,17.65056592,0.637525271,0.08869148,2457.074885,27.39556623,-0.513854162,3.042473337,0.916903225,0.269841463,668,699,596,0.0767749,593,138945.661264,0.778617845392415,0.150170216257095,0.0712119383504898
"2","1096","ALM3","red","ALM","pumilio",24.41701636,3.78505255,13982.66666,170.1690533,87.37836343,1.063394683,160.0243597,47931,583.32027,583.32027,2.565841667,227.3407114,22527.33019,274.1576084,86.53818685,1.053169734,260.3166418,1.145050705,0.703896626,1.626731344,6,5027.78281,12.53811175,30.40955261,0.154343778,0.174881326,0.142345564,0.194194632,0.240687192,0.515885719,5.483200091,0.297957636,0.02732083,2045.665283,24.86360278,-0.13022602,1.983042047,0.786039275,0.054178354,700,368,592,0.075121336,581,84440.99685,0.266781907253147,0.567627121753952,0.165590970992901
"3","1097","ALM4","red","ALM","pumilio",18.30097772,4.414821653,0,0,54.05482744,0.65784725,0,32958,401.09886,34.63099757,3.697718983,108.4719693,127.5948155,127.5948155,82.64338948,1.00577005,126.8628107,1.169544644,0,NA,9,4711.718429,11.74992127,27.34351559,0.125997129,0.142392933,0.119525797,0.219685193,0.281001798,0.542033308,5.461987332,0.516217068,0.054781139,2189.662367,22.33736784,-0.270329613,1.90106532,0.808396225,0.104142523,660,699,583,0.172062661,581,33085.5948155,0.00385650662203673,0.996143493377963,0
"4","1098","ALM5","red","ALM","pumilio",13.8888373,2.87965323,4859.709205,59.14266102,62.9080115,0.7655905,77.25103828,11284,137.32628,686.7096255,3.204450433,42.85486166,7568.851182,92.11291888,41.07535472,0.499887067,184.2674575,4.299802878,1.802620176,2.385307196,7,4587.920613,11.44119854,32.14560634,0.07289313,0.081812171,0.060311916,0.221000453,0.331651889,0.653137447,15.4384624,0.588309992,0.053950479,2935.621749,30.06342966,-0.57053116,2.627646882,0.91914918,0.141762808,665,699,579,0.191796713,580,23712.560387,0.319191646050567,0.475865946816366,0.204942407133067
"5","1099","ALM6","red","ALM","pumilio",27.22903886,3.280597937,9776,118.97392,59.65253665,0.725971371,163.8823854,32431.66667,394.6933833,1273.050963,1.940438889,203.4041812,54723.5,665.984995,80.9370097,0.985003408,676.1245592,3.324044546,0.805698213,4.125669501,7,6736.36911,16.79892546,38.64910964,0.13908354,0.157967585,0.137206472,0.205926773,0.257395252,0.524809163,4.868146179,0.426064701,0.057279875,2865.631303,30.70992535,-0.191800118,1.828088673,0.779889933,0.104712691,675,699,587,0.132583697,581,96931.16667,0.564560418284296,0.33458450758581,0.100855074129894
"6","1100","ALM7","red","ALM","pumilio",31.39400137,2.92861314,37943,461.76631,112.8637195,1.373551466,336.1842067,19384,235.90328,2509.447915,2.598159778,90.79629436,71573.66667,871.0515234,155.1526068,1.888207225,461.3114026,5.080729405,3.702620344,1.372198317,9,5735.081239,14.30194823,33.49627055,0.183790682,0.201960484,0.127706151,0.172343803,0.224427021,0.522699313,5.559932775,0.382162416,0.177326352,2445.853776,27.47168862,-0.125692105,1.920835412,0.797672341,0.340614737,684,300,594,-0.049319229,593,128900.66667,0.555262191569858,0.150379361882008,0.294358446548134
"7","1101","ALM8","red","ALM","pumilio",33.31288343,4.532505553,22196,270.12532,78.69653887,0.957736878,282.0454409,18762.66667,228.3416533,1909.81376,3.022216667,75.5543624,42196,513.52532,99.70095316,1.2133606,423.2256429,5.601604321,3.733013316,1.500558355,7,5446.821352,13.58309564,26.65989727,0.22207865,0.244415854,0.156396649,0.2057686,0.230256231,0.422421321,3.666174411,0.237819387,0.159829504,1627.587357,19.38803994,0.019133821,1.427365341,0.709660475,0.228135094,700,300,585,-0.072718885,569,83154.66667,0.50743995123515,0.225635763107076,0.266924285657773
"8","1110","BAS.1","red","BAS","pumilio",33.84458078,1.970671873,16115.5,196.125635,85.66666672,1.042563334,188.1186769,47088,573.06096,1951.18545,1.042563334,549.6653693,47571.66667,578.9471834,126.0264857,1.533742331,377.4735636,0.686733392,0.342242185,2.006571436,3,3337.306727,8.322460665,25.55755464,0.094923798,0.106985655,0.092742007,0.163800434,0.238147511,0.654808885,9.647148236,0.45877279,0.023922678,1985.124221,22.90832048,-0.340489166,2.752589817,0.889251948,0.065849321,689,699,601,0.092866284,594,110775.16667,0.429443422204151,0.425077220964835,0.145479356831014
"9","1111","BAS.2","red","BAS","pumilio",28.54464895,NA,27554.66666,335.3402933,152.5555555,1.856601111,180.620539,107385,665.1675767,384.5208109,4.679618269,142.1414181,33356,405.94252,161.5939606,1.9665985,206.4186055,1.452205896,1.270710124,1.142830193,6,3534.013599,8.813001495,25.12889243,0.128143838,0.143076088,0.111817347,0.166431792,0.226734551,0.599838907,7.273742573,0.350305316,0.029820976,1833.20073,21.67415202,-0.220249194,2.459338289,0.856922087,0.073339867,700,368,602,0.05335656,594,168295.66666,0.198198804888943,0.638073469930423,0.163727725180634
"10","1112","BAS.3","red","BAS","pumilio",20.64417178,4.31887743,15322.66666,186.4768533,122.1111111,1.486092222,125.4813467,56189,683.82013,307.784684,3.745739604,182.5594415,35578.66667,432.9923734,122.9458383,1.496250852,289.3848801,1.58515428,0.68734515,2.306198393,5,4580.992636,11.42392179,33.18127813,0.103354992,0.116047675,0.095360075,0.184899215,0.253588817,0.622790044,8.906862674,0.420153943,0.036576882,2577.333317,29.45591721,-0.319748257,2.578441779,0.887278026,0.094311361,691,381,596,0.12008297,582,107090.33333,0.332230422332929,0.524687880341664,0.143081697325407
