slide,id,morph,locality,species,tissue_thickness,collagen_layer_nm,collagen_layer_px,iridophores_area_px,iridophores_area_nm2,iridophores_thickness_px,iridophores_thickness_nm,iridophores_density,melanophores_area_px,melanophores_area_nm2,melanophores_thickness_px,melanophores_thickness_nm,melanophores_density,xanthophores_area_px,xanthophores_area_nm2,xanthophores_thickness_px,xanthophore_thickness_nm,xanthophores_density,xanthtomel,iritomel,xanthtoiri,glands,B1,B2,S1R,S1G
1094,ALM1,red,ALM,pumilio,18.3710372,4.759910117,0.057928106,9894.589864,120.4171586,84.69239934,1.0307065,116.8297266,20865.5,253.933135,407.8471979,4.733175233,53.6496374,108185.5714,1316.618404,147.1384086,1.790674433,735.2639764,13.70491977,2.177642427,6.29346655,7,3610.753766,9.004373482,0.715892267,0.147503499
1096,ALM3,red,ALM,pumilio,24.41701636,3.78505255,0.04606409,13982.66666,170.1690533,87.37836343,1.063394683,160.0243597,47931,583.32027,583.32027,2.565841667,227.3407114,22527.33019,274.1576084,86.53818685,1.053169734,260.3166418,1.145050705,0.703896626,1.626731344,6,7009.273295,17.47948452,0.45674057,0.218949646
1097,ALM4,red,ALM,pumilio,18.30097772,4.414821653,0.05372838,,,,,,32958,401.09886,34.63099757,3.697718983,108.4719693,127.5948155,127.5948155,82.64338948,1.00577005,126.8628107,1.169544644,,,9,4711.718429,11.74992127,0.542033308,0.219685193
1098,ALM5,red,ALM,pumilio,13.8888373,2.87965323,0.03504538,4859.709205,59.14266102,62.9080115,0.7655905,77.25103828,11284,137.32628,686.7096255,3.204450433,42.85486166,7568.851182,92.11291888,41.07535472,0.499887067,184.2674575,4.299802878,1.802620176,2.385307196,7,4587.920613,11.44119854,0.653137447,0.221000453
1099,ALM6,red,ALM,pumilio,27.22903886,3.280597937,0.039924877,9776,118.97392,59.65253665,0.725971371,163.8823854,32431.66667,394.6933833,1273.050963,1.940438889,203.4041812,54723.5,665.984995,80.9370097,0.985003408,676.1245592,3.324044546,0.805698213,4.125669501,7,6736.36911,16.79892546,0.524809163,0.205926773
1100,ALM7,red,ALM,pumilio,31.39400137,2.92861314,0.035641222,37943,461.76631,112.8637195,1.373551466,336.1842067,19384,235.90328,2509.447915,2.598159778,90.79629436,71573.66667,871.0515234,155.1526068,1.888207225,461.3114026,5.080729405,3.702620344,1.372198317,9,5735.081239,14.30194823,0.522699313,0.172343803
1101,ALM8,red,ALM,pumilio,33.31288343,4.532505553,0.055160593,22196,270.12532,78.69653887,0.957736878,282.0454409,18762.66667,228.3416533,1909.81376,3.022216667,75.5543624,42196,513.52532,99.70095316,1.2133606,423.2256429,5.601604321,3.733013316,1.500558355,7,5446.821352,13.58309564,0.422421321,0.2057686
1110,BAS.1,red,BAS,pumilio,33.84458078,1.970671873,0.023983077,16115.5,196.125635,85.66666672,1.042563334,188.1186769,47088,573.06096,1951.18545,1.042563334,549.6653693,47571.66667,578.9471834,126.0264857,1.533742331,377.4735636,0.686733392,0.342242185,2.006571436,3,3337.306727,8.322460665,0.654808885,0.163800434
1111,BAS.2,red,BAS,pumilio,28.54464895,,0,27554.66666,335.3402933,152.5555555,1.856601111,180.620539,107385,665.1675767,384.5208109,4.679618269,142.1414181,33356,405.94252,161.5939606,1.9665985,206.4186055,1.452205896,1.270710124,1.142830193,6,3534.013599,8.813001495,0.599838907,0.166431792
1112,BAS.3,red,BAS,pumilio,20.64417178,4.31887743,0.052560738,15322.66666,186.4768533,122.1111111,1.486092222,125.4813467,56189,683.82013,307.784684,3.745739604,182.5594415,35578.66667,432.9923734,122.9458383,1.496250852,289.3848801,1.58515428,0.68734515,2.306198393,5,4580.992636,11.42392179,0.622790044,0.184899215
1113,BAS.4,red,BAS,pumilio,28.34355828,4.46659689,0.054358484,1866,22.70922,215.3333333,2.620606666,8.665634677,14176.66667,172.5300333,542.7540651,6.605316972,26.11987192,22431,272.98527,141.149664,1.717791411,158.916425,6.084119612,0.331764057,18.33869427,5,5307.636285,13.23600071,0.62788542,0.158381606
1114,BAS.5,red,BAS,pumilio,20.82822086,,0,14623,177.96191,114.6666667,1.395493334,127.5261627,42019.66667,511.3793433,289.0207406,3.517382414,145.3863365,43358.5,527.672945,99.14083541,1.206543967,437.3424918,3.008140258,0.877153698,3.429433479,4,5767.692857,14.38327396,0.626088788,0.165595343
1116,BAS.7,red,BAS,pumilio,18.34355828,3.080320303,0.037487498,10049.33334,122.3003867,96.33333336,1.172376667,104.3183391,51644,628.50748,242.8110292,2.955010225,212.6921507,66986.66667,815.2277334,143.6701938,1.748466258,466.2530545,2.192149795,0.490466332,4.469521453,4,4274.724946,10.66016196,0.562855078,0.168583546
1117,BAS.8,red,BAS,pumilio,7.928677923,3.14725936,0.038302146,13883.13333,168.9577327,31.74366667,0.386320423,437.3512831,13621,165.76757,102.297,1.24495449,133.1515098,18435.97644,224.3658333,95.7885,1.165746045,192.4654467,1.445461993,3.284613774,0.440070612,3,3939.719359,9.824736557,0.621798206,0.1736235
3424,CAL.1,red,CAL,vicentei,7.34192977,3.150784603,0.038345049,22904.66667,278.7497933,32.83929597,0.399654232,697.4773967,4188.825217,50.97800289,77.19597749,0.939475046,54.26222134,5694.539316,69.30254348,34.785908,0.4233445,163.7024773,3.016877549,12.85383052,0.234706498,9,4499.204455,11.21996124,0.607913371,0.200896695
3324,CAL.2,red,CAL,vicentei,6.555281253,2.565103353,0.031217308,17278.33333,210.2773167,26.20002687,0.318854327,659.4776953,10594.05952,128.9297044,114.56251,1.394225747,92.47405213,3085.9375,37.55585938,33.794236,0.411275852,91.3154983,0.987471579,7.131489105,0.138466394,6,2849.835111,7.106820727,0.627461282,0.224342735
3624,CAL.3,red,CAL,vicentei,5.091055817,2.33139473,0.028373074,6401.333333,77.90422667,23.73326459,0.28883383,269.7198824,2484.773626,30.23969503,69.03375604,0.840140811,35.99360326,3032.904029,36.91044204,41.201202,0.501418628,73.61202786,2.045141947,7.493550464,0.272920288,4,3130.647999,7.807102243,0.590579312,0.192017443
3724,CAL.4,red,CAL,vicentei,5.718301673,3.64344243,0.044340694,9524,115.90708,22.47134897,0.262278946,441.9229289,3446.895029,41.94871251,66.82149762,0.718344156,51.58362432,3749.594444,45.63256439,26.16366,0.318411742,143.3130704,2.778266791,8.567116691,0.324294263,5,3278.970797,8.176984532,0.664494464,0.185997784
1102,CAY.1,green,CAY,pumilio,16.42,2.996428437,0.036466534,0,0,0,0,,51975.66667,632.5438633,113.83,1.3853111,456.6078069,7872.69,95.8106373,37.08,0.4512636,212.316343,0.464986231,0,,4,4994.729753,12.45568517,0.224582243,0.366540229
1103,CAY.2,green,CAY,pumilio,16.57,3.465878073,0.042179736,0,0,0,0,,13466.58,163.8882786,131.24,1.5971908,102.6103322,2947.46,35.8705882,30.85,0.3754445,95.54165316,0.93111143,0,,4,5665.849853,14.12930138,0.254543324,0.282457498
