slide,histology_measurement,sum/avg_per_image,slide_image
1094,tissue_thickness,18.75199748,1094_40x_5
1094,tissue_thickness,19.37730339,1094_40x_6
1094,tissue_thickness,17.93531373,1094_40x_7
1094,tissue_thickness,19.64359861,1094_40x_8
1094,tissue_thickness,17.20790147,1094_40x_9
1094,tissue_thickness,17.31010852,1094_40x_10
1094,collagen_layer_px,0.058680081,1094_40x_5
1094,collagen_layer_px,0.056605721,1094_40x_6
1094,collagen_layer_px,0.055554225,1094_40x_7
1094,collagen_layer_px,0.055607534,1094_40x_8
1094,collagen_layer_px,0.059933955,1094_40x_9
1094,collagen_layer_px,0.061187121,1094_40x_10
1094,iridophores_area_px,10203.85681,1094_40x_5
1094,iridophores_area_px,9997.68032,1094_40x_6
1094,iridophores_area_px,8850.016145,1094_40x_7
1094,iridophores_area_px,10370.06778,1094_40x_8
1094,iridophores_area_px,8744.717874,1094_40x_9
1094,iridophores_area_px,11201.20026,1094_40x_10
1094,iridophores_thickness_px,83.07566064,1094_40x_5
1094,iridophores_thickness_px,89.19668558,1094_40x_6
1094,iridophores_thickness_px,87.91059733,1094_40x_7
1094,iridophores_thickness_px,73.5673266,1094_40x_8
1094,iridophores_thickness_px,86.99669427,1094_40x_9
1094,iridophores_thickness_px,87.40743162,1094_40x_10
1094,melanophores_area_px,18794.15252,1094_40x_5
1094,melanophores_area_px,21104.29197,1094_40x_6
1094,melanophores_area_px,25975.66191,1094_40x_7
1094,melanophores_area_px,20791.98473,1094_40x_8
1094,melanophores_area_px,17426.7528,1094_40x_9
1094,melanophores_area_px,21100.15606,1094_40x_10
1094,melanophores_thickness_px,390.8422487,1094_40x_5
1094,melanophores_thickness_px,388.6729022,1094_40x_6
1094,melanophores_thickness_px,471.939755,1094_40x_7
1094,melanophores_thickness_px,364.5283656,1094_40x_8
1094,melanophores_thickness_px,401.9240125,1094_40x_9
1094,melanophores_thickness_px,429.1759033,1094_40x_10
1094,xanthophores_area_px,105345.797,1094_40x_5
1094,xanthophores_area_px,104756.1185,1094_40x_6
1094,xanthophores_area_px,123389.5647,1094_40x_7
1094,xanthophores_area_px,112924.7791,1094_40x_8
1094,xanthophores_area_px,98997.91165,1094_40x_9
1094,xanthophores_area_px,103699.2574,1094_40x_10
1094,xanthophores_thickness_px,173.1397489,1094_40x_5
1094,xanthophores_thickness_px,132.4985012,1094_40x_6
1094,xanthophores_thickness_px,123.1571448,1094_40x_7
1094,xanthophores_thickness_px,139.7930046,1094_40x_8
1094,xanthophores_thickness_px,139.2113272,1094_40x_9
1094,xanthophores_thickness_px,175.0307249,1094_40x_10
1096,tissue_thickness,22.83737203,1096_40x_1
1096,tissue_thickness,23.30542747,1096_40x_2
1096,tissue_thickness,24.01397254,1096_40x_3
1096,tissue_thickness,26.17112906,1096_40x_4
1096,tissue_thickness,23.50356703,1096_40x_7
1096,tissue_thickness,26.67063002,1096_40x_8
1096,collagen_layer_px,0.043262767,1096_40x_1
1096,collagen_layer_px,0.045914544,1096_40x_2
1096,collagen_layer_px,0.046647295,1096_40x_3
1096,collagen_layer_px,0.053092475,1096_40x_4
1096,collagen_layer_px,0.044314405,1096_40x_7
1096,collagen_layer_px,0.043153054,1096_40x_8
1096,iridophores_area_px,12435.5149,1096_40x_1
1096,iridophores_area_px,12274.75878,1096_40x_2
1096,iridophores_area_px,14307.20684,1096_40x_3
1096,iridophores_area_px,14335.72477,1096_40x_4
1096,iridophores_area_px,16423.91453,1096_40x_7
1096,iridophores_area_px,14118.88013,1096_40x_8
1096,iridophores_thickness_px,82.14047399,1096_40x_1
1096,iridophores_thickness_px,78.10890516,1096_40x_2
1096,iridophores_thickness_px,82.54742503,1096_40x_3
1096,iridophores_thickness_px,89.98217397,1096_40x_4
1096,iridophores_thickness_px,97.6841554,1096_40x_5
1096,iridophores_thickness_px,93.80704704,1096_40x_6
1096,melanophores_area_px,48531.33464,1096_40x_1
1096,melanophores_area_px,49115.28167,1096_40x_2
1096,melanophores_area_px,43774.77447,1096_40x_3
1096,melanophores_area_px,42435.00743,1096_40x_4
1096,melanophores_area_px,49862.70905,1096_40x_7
1096,melanophores_area_px,53866.89274,1096_40x_8
1096,melanophores_thickness_px,653.7202149,1096_40x_1
1096,melanophores_thickness_px,579.4520937,1096_40x_2
1096,melanophores_thickness_px,546.5821188,1096_40x_3
1096,melanophores_thickness_px,615.0409396,1096_40x_4
1096,melanophores_thickness_px,559.8854984,1096_40x_7
1096,melanophores_thickness_px,545.2407546,1096_40x_8
1096,xanthophores_area_px,23702.69713,1096_40x_1
1096,xanthophores_area_px,18481.22152,1096_40x_2
1096,xanthophores_area_px,21867.12711,1096_40x_3
1096,xanthophores_area_px,25473.74842,1096_40x_4
1096,xanthophores_area_px,23638.70381,1096_40x_7
