slide_image,slide,replicate,Melanosome_density,Melanosome_length,Caro_length,id,morph,locality,species,Pteridosome_length
1094_40x_1,1094,1,17.8623317363497,4.883799152099931,1.7945023664582034,ALM1,red,ALM,pumilio,1.713352778
1094_40x_2,1094,2,16.608670124189754,4.225980622224785,1.6854024821653144,ALM1,red,ALM,pumilio,1.713352778
1094_40x_3,1094,3,16.72537141946055,4.723553225675284,1.8518805513764827,ALM1,red,ALM,pumilio,1.713352778
1100_40x_1,1100,1,18.56034673031413,6.353692781793197,2.2883207336520726,ALM7,red,ALM,pumilio,1.5642564
1100_40x_2,1100,2,18.209658739915113,5.4150936913247785,2.351492901650836,ALM7,red,ALM,pumilio,1.5642564
1100_40x_3,1100,3,18.93249488977075,4.872979027882026,2.327482364697091,ALM7,red,ALM,pumilio,1.5642564
1111_40x_1,1111,1,14.188924074387158,4.792491700506346,8.108336436851427,BAS.2,red,BAS,pumilio,5.065688
1111_40x_2,1111,2,13.62767362822919,5.5219352972036555,8.157370203116606,BAS.2,red,BAS,pumilio,5.065688
1111_40x_3,1111,3,14.925258917383651,5.3341887522899984,6.952029359031968,BAS.2,red,BAS,pumilio,5.065688
1113_40x_1,1113,1,16.165376358462833,4.12574650265991,2.246837671519625,BAS.4,red,BAS,pumilio,3.16846075
1113_40x_2,1113,2,15.710515405242562,4.198678216638151,2.2533121278105384,BAS.4,red,BAS,pumilio,3.16846075
1113_40x_3,1113,3,15.7240420662946,4.303799280701938,2.2929632006698366,BAS.4,red,BAS,pumilio,3.16846075
1103_40x_1,1103,1,10.698420954711208,5.662388924735825,1.392617290601181,CAY.2,green,CAY,pumilio,1.513850333
1103_40x_2,1103,2,11.117600664639854,5.028375101899999,1.505230287269706,CAY.2,green,CAY,pumilio,1.513850333
1103_40x_3,1103,3,11.67187141064894,5.548721307364177,1.4372694221291136,CAY.2,green,CAY,pumilio,1.513850333
1105_40x_1,1105,1,14.267506912516884,6.447319042940901,4.900960347987987,CAY.4,green,CAY,pumilio,3.187864571
1105_40x_2,1105,2,15.297767519962134,6.445207966194401,4.99491410715436,CAY.4,green,CAY,pumilio,3.187864571
1105_40x_3,1105,3,16.024884427520984,5.149345376864696,4.913975944857654,CAY.4,green,CAY,pumilio,3.187864571
V647/22_40x_1,V647/22,1,15.855072099658429,0.7938926085844774,1.7600567589708924,DAM.4,green,DAM,granulifera,NA
V647/22_40x_2,V647/22,2,17.252689989987335,0.8786622493906281,1.6817338003044577,DAM.4,green,DAM,granulifera,NA
V647/22_40x_3,V647/22,3,16.992237910354234,0.9674451420248946,1.6882094407246497,DAM.4,green,DAM,granulifera,NA
V648/22_40x_1,V648/22,1,16.330186500915055,0.9772049487483307,2.876596362913139,DAM.5,green,DAM,granulifera,NA
V648/22_40x_2,V648/22,2,17.451043963216964,0.9633178517000215,2.843375998780014,DAM.5,green,DAM,granulifera,NA
V648/22_40x_3,V648/22,3,19.738769535867974,0.8194771995516481,2.6200276383068477,DAM.5,green,DAM,granulifera,NA
V653/22_40x_1,V653/22,1,18.158081446842978,0.8522105198072273,4.808012677656113,ESQ.2,green,ESQ,granulifera,NA
V653/22_40x_2,V653/22,2,20.397118338273263,0.7997436706533257,4.697043252521505,ESQ.2,green,ESQ,granulifera,NA
V653/22_40x_3,V653/22,3,19.28480021488376,0.868045809539447,4.234944069822381,ESQ.2,green,ESQ,granulifera,NA
V656/22_40x_1,V656/22,1,16.831062052542713,0.9197342199605447,2.3762793865644762,ESQ.5,green,ESQ,granulifera,NA
V656/22_40x_2,V656/22,2,16.914223637076947,0.8551762451113035,2.4010671975152333,ESQ.5,green,ESQ,granulifera,NA
V656/22_40x_3,V656/22,3,18.09471431038034,0.8350895349281515,2.12265341592029,ESQ.5,green,ESQ,granulifera,NA
V657/22_40x_1,V657/22,1,14.820943469462833,0.9178764262244552,2.632176453559018,ESQ.6,green,ESQ,granulifera,NA
V657/22_40x_2,V657/22,2,18.0882884434769,0.9063147719758511,2.667496108688555,ESQ.6,green,ESQ,granulifera,NA
V657/22_40x_3,V657/22,3,23.280768087060267,0.7858088017996936,2.4703274377524265,ESQ.6,green,ESQ,granulifera,NA
v629/22_40x_1,v629/22,1,19.376173650338664,0.816709150349918,2.02726124482369,PAL.2,red,PAL,granulifera,NA
v629/22_40x_2,v629/22,2,19.449286184144917,0.7838309474753518,2.04320723616103,PAL.2,red,PAL,granulifera,NA
